source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms,auto_label
71,mr_auto,mr,362,320.488495,320.50625,2.7499999999918145,-1,320.50625,320.509,17.75500000002239,19.004999999992833,20.505000000014206,2.7499999999918145,1.9094268526126488,-1.8182811927981675,-1.5479687643237412,-1.8182811927981675,1.8182811927981675,0.27031242847442627,0.2099999189376831,4.789296888164245,1.7300567761833778,0.008281250018626451,0.12949584245206788,14.041232199954168,2.0874216759080957,1.6216730588506216,False,1,True,,5.749999999977717,,mr_auto
72,lr_auto,lr,362,320.488495,320.51575,1.9999999999527063,1,320.51575,320.51775,27.25500000002512,28.005000000007385,29.254999999977827,1.9999999999527063,1.312015444517673,0.06796875176951289,0.09734375355765224,0.09734375355765224,0.09734375355765224,0.029375001788139343,0.0246875062584877,0.17542968690395355,0.08637861818849879,0.008281250018626451,0.12949584245206788,0.7517133501307847,0.22684127329425519,0.19064323449322812,False,1,True,,,9.000000000014552,lr_auto
73,lr_auto,lr,362,320.488495,320.535,3.4999999999740794,1,320.535,320.5385,46.505000000024665,48.25499999998328,50.004999999998745,3.4999999999740794,2.280571451171771,0.2810937571339309,0.4451562571339309,0.4451562571339309,0.4451562571339309,0.1640625,0.15906250476837158,1.348671883577481,0.3825792573890774,0.008281250018626451,0.12949584245206788,3.437610418254956,1.2669325662769966,1.2283213248892344,False,2,True,,,29.24999999999045,lr_auto
74,er_auto,er,363,320.988739,321.00175,1.749999999958618,1,321.00175,321.0035,13.011000000005879,14.510999999970409,14.760999999964497,1.749999999958618,1.08561458836301,0.0625,0.09593749046325684,0.09593749046325684,0.09593749046325684,0.033437490463256836,0.01812499761581421,0.1541796810925007,0.08651637036575774,-0.29999999701976776,0.01737421875,5.521830468679741,1.9245464181378997,1.0432122374316375,False,1,True,,,,er_auto
75,mr_auto,mr,363,320.988739,321.006,2.750000000048658,-1,321.006,321.00875,17.260999999962223,18.510999999989508,20.01100000001088,2.750000000048658,1.7133236576034192,-1.8050000220537186,-1.5109375268220901,-1.8050000220537186,1.8050000220537186,0.2940624952316284,0.20718753337860107,4.720703091472387,1.7054380467357488,-0.29999999701976776,0.01737421875,103.8895646489842,16.92522118334837,11.924998548703151,False,1,True,,4.000000000019099,,mr_auto
76,lr_auto,lr,363,320.988739,321.0215,1.7500000000154614,1,321.0215,321.02325,32.7609999999936,33.510999999975866,34.51100000000906,1.7500000000154614,1.0364371551273295,0.2562499977648258,0.2737499978393316,0.2737499978393316,0.2737499978393316,0.017500000074505806,0.01250000111758709,0.4693749942816794,0.26709277057228537,-0.29999999701976776,0.01737421875,15.756104017012657,1.0072395384400121,0.7194568744328196,False,1,True,,,14.999999999986358,lr_auto
77,er_auto,er,365,321.988495,322.0,2.250000000003638,1,322.0,322.00225,11.504999999999654,12.504999999976008,13.755000000003292,2.250000000003638,1.284090941491106,0.26640625670552254,0.29015625454485416,0.29015625454485416,0.29015625454485416,0.023749997839331627,0.02187499962747097,0.6311328238807619,0.27930953500020406,-0.31078125536441803,0.0956740118086338,3.0327593571096587,0.24823875773952214,0.22864097798287297,False,1,True,,,,er_auto
78,mr_auto,mr,365,321.988495,322.006,2.750000000048658,-1,322.006,322.00875,17.50499999997146,18.754999999998745,20.255000000020118,2.750000000048658,1.7596573580373889,-1.7732813209295273,-1.357343778014183,-1.7732813209295273,1.7732813209295273,0.41593754291534424,0.32531261444091797,4.5187890864908695,1.6283064623957346,-0.31078125536441803,0.0956740118086338,18.534618622206693,4.3474454039546115,3.4002192266339266,False,1,True,,6.250000000022737,,mr_auto
79,lr_auto,lr,365,321.988495,322.03375,8.249999999975444,1,322.03375,322.042,45.25499999999738,50.25499999999283,53.504999999972824,8.249999999975444,3.9342949986959797,0.3695312552154064,0.48046875,0.48046875,0.48046875,0.11093749478459358,0.10499999672174454,3.513046917039901,0.4258890328200803,-0.31078125536441803,0.0956740118086338,5.021935851932589,1.1595363535762422,1.0974766787428594,False,1,True,,,31.49999999999409,lr_auto
80,er_auto,er,366,322.488495,322.50075,3.750000000025011,1,322.50075,322.5045,12.25499999998192,14.254999999991469,16.00500000000693,3.750000000025011,2.3521175057389048,0.22734374972060323,0.4854687419719994,0.4854687419719994,0.4854687419719994,0.2581249922513962,0.22031249105930328,1.4964062449289486,0.39835150611972153,-0.015781250316649675,0.13088577862652018,3.709102295653329,1.9721393337006492,1.6832423917342492,False,1,True,,,,er_auto
